,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,noise
11,2dpf,-316.6666666667,237.5925925926,1893.2542372881,-195.6818181818,1164.4615384615,2305,2024.7428571429,52091.3605442177,3202.537037037,90283.4691689008,107232.692307692,304892.902912621,296958.341269841,82656.4621212121,27870.347826087,22585.3978494624,54901.1034482759,98587.88,64020.0789473684,131323.485714286,35332.756097561,22957.5,26078.8351648352,36740.4761904762,44498.9807692308,43994,61723.125,54451.5972222222,38222.2321428571,33089.085106383,38188.5897435897,52785.0147058823,47116.6956521739,57770.6060606061,49089.2093023256,39486.2680412371,700608.034883721,639427.638297872,557492.7,509845.5625,547080.82,550176.978723404,332153.351851852,234111.975609756,207178.946428571,158413.925,84282.7260273973,64553.8,42280.2125,32651.5666666667,36561.380952381,30470.125,45084.8717948718,48708.5128205128,47517.6774193548,56485.9827586207,58127.6578947368,62089.5769230769,81649.4776119403,94003.987012987,85078.3529411765,88890.1612903226,89504.9090909091,97154.9387755102,131003.217948718,15197.9375,15588.3571428571,19806.4285714286,20753.5454545455,30254.12,35521.8,36729.5384615385,48457.8571428571,33933.7142857143,23639.0769230769,25403.8545454545,13242.8076923077,9777.3333333333,18015.2520325203,67239.5442176871,31035.8823529412,53041.6842105263,58194.7878787879,44250.8360655738,41020.0416666667,28070.6274509804,18749.8070175439,2693.4803921569,5901,11529.6176470588,10822.4,5856.6315789474,9531.9615384615,9076.925,18304.2424242424,16654.1,40013.4878048781,95235.5652173913,56846.5294117647,62530.25,59957.1875,94709.4583333333,99525,147726.458333333,96915.4642857143,85293.2692307692,39342.3191489362,34433.4727272727,48987.009009009,36565.6818181818,643.8676470588,31.8618421053,75.3922829582,20331.3920454545,50262.4269662921,69150.5918367347,85113.2,928.3854166667,1906.3,47462.1180438449,3448.3597122302,500.2335329341,8700.2953736655,8823.9291338583,10607.6829268293,773.8571428571,1513.28,4584.4307692308,4196.9714285714,1319.7297297297,1337.8,1101.4523809524,8300.8818897638,9800.8157894737,9792.4857142857,3094.1811594203,4526.4144736842,9374.4081632653,2882.52,6987.8981233244,17380.2754820937,3924.4161073826,14229.0714285714,21370.2321428571,39047.4186046512,14079.9361702128,5605.4264339152,1915.9111111111,26232.902173913,21389.4505494506,15208.4815436242,661.8072289157,1017.794520548,984.9392265193,1391.4915254237,12862.6750902527,9186.7837837838,18710.9115044248,6121.6888888889,9013.5438596491,21354.8793103448,39793.3205128205,62348.0930232558,101051.285714286,125512.65625,118432.785714286,123194.25,118422.428571429,125851.34375,153507.547619048,167498.206896552,77746.7941176471,29897.7575757576,7869.375,1232.1162790698,-124.6506550218,-147.6090225564,439.7651515152,136.6052631579,476.98,2262.3902439024,-245.48
12,2dpf,-542.2857142857,-337.5925925926,1332.1525423729,-112.8636363636,922.8461538462,2215.3611111111,2062.2857142857,57770.8775510204,3290.3425925926,121391.587131367,128866.538461538,336676.116504854,329791.547619048,93636.8106060606,33765.3260869565,27650.8709677419,62095.2586206897,108941.98,73463.798245614,149244.642857143,40935.756097561,25525.7142857143,29472.8241758242,42368.1904761905,49591.6923076923,49087.7777777778,68986.6944444444,60646.0972222222,42211.5892857143,36605.9787234043,42841.9230769231,59270.7352941177,52985.347826087,65562.9696969697,55125.2558139535,43562.7319587629,799566.337209302,699228.617021277,603968,556090.125,613992.6,617843.382978723,379531.796296296,262386.634146341,229381.607142857,168885.9875,90380.7534246575,69604,45794.775,39064.4666666667,39352.2857142857,31836.375,47883.9743589744,50203.0769230769,48726.2903225806,57542.3965517241,58144.9736842105,63539.7307692308,84534.2089552239,97699.1428571429,87986.1176470588,90907.8064516129,91506.0909090909,97608.2653061225,131871.346153846,15614.75,16188.6785714286,21202.2857142857,21681.6363636364,32534.16,39036.64,40193.0256410256,53213.1428571429,36979.3928571429,25814.3076923077,27937.6909090909,15048.2307692308,10047.5185185185,18928.8699186992,73026.3299319728,33875.8823529412,57802.701754386,63877.8181818182,48207.9836065574,44599.2708333333,30561.8235294118,18707.5,2926.6470588235,5884.0769230769,11680.7647058824,10652.88,5211.3684210526,9474.3076923077,8368.825,19020.6363636364,16582.925,37215.4634146341,102928.304347826,62265,63468.9,69178.75,103202.166666667,110649.305555556,163655.541666667,109584.107142857,93662.2692307692,43938.7659574468,41886.4545454545,62090.6126126126,40753.5965909091,160.0196078431,-824.3223684211,-595.2668810289,21105.1193181818,52383.2584269663,73508.6530612245,92547.4210526316,849.3402777778,1427.3678571429,47082.5548060708,3647.8201438849,528.0239520958,9507.1814946619,13882.0472440945,16400.4390243902,341.8571428571,1900.08,5324.1076923077,4866.0857142857,1112.945945946,600.52,927.9047619048,12188.0708661417,14260.1578947368,14998.5142857143,3040.0362318841,10314.1151315789,6708.693877551,1731.736,8690.4584450402,17921.9173553719,3648.7751677852,12582.2,21660.3035714286,47986.8081395349,20153.1489361702,7889.3117206983,2185.7111111111,30368.7826086957,25133.0879120879,15844.6728187919,2328.1686746988,2689.5890410959,1402.9668508287,1250.9604519774,12398.8375451264,9948.2432432432,20683.3008849558,5869.1777777778,7816.8596491228,20225.9655172414,40197.4743589744,63696.5348837209,105506.214285714,136434.1875,122653.857142857,134599.25,125022.285714286,136760.21875,162787.404761905,186640.724137931,89862.4264705882,36467.2272727273,12081.125,4438.2325581395,-266.0611353712,-54.5338345865,453.2803030303,148.6644736842,277.55,1867.9756097561,-594.44
13,1x3dpf,659.380952381,1342.0740740741,2414.186440678,1129.3181818182,369.1538461538,-90.7777777778,485.9142857143,5957.693877551,1335.3148148148,168309.243967828,154860.807692308,163599.660194175,227157.801587302,52816.8409090909,32760.5217391304,26496.5913978495,25244.7586206897,29686.22,35536,52592.2,35479.5853658537,30816.2380952381,30325.2747252747,30286.4285714286,30751.1923076923,30184.2222222222,31678.2638888889,28216.8333333333,21755.0714285714,16947.8936170213,15787.7692307692,19955.5882352941,21634.2173913043,26668.2121212121,27539.3255813953,29558.8144329897,431325.903100775,375794.531914894,313369,300818.40625,307545.34,299552.744680851,203241.259259259,141564.414634146,107478.625,100262.2875,46119.9315068493,32755.2333333333,24187.8,17158.8333333333,24098.5238095238,10847.25,11627.2051282051,12427.9743589744,13194.9677419355,15159.5862068966,20170.6052631579,19641.5384615385,20080.0597014925,17618.5974025974,13100.8823529412,14438.4838709677,14918.9090909091,23371.2653061224,14376.2435897436,4627.3125,3688.5,4154.3928571429,4720.9090909091,4921.36,5550.72,5366.9487179487,7038.7142857143,5266.25,3920.0769230769,4193.7818181818,3285.5384615385,7546.7407407407,3578.6097560976,11092.5068027211,11423.9411764706,11382.4736842105,9087.9242424242,6101.9508196721,4443.2916666667,2339.6078431373,10138.7280701754,-127.9754901961,3355.6153846154,8157.3235294118,6298.52,77,-1099.1923076923,87.525,431.0606060606,-537.525,-794.6707317073,15281.2173913043,3588.8823529412,2626.75,2270.5625,7386.4583333333,9327.1388888889,15453.75,11101,10069.2692307692,5022.170212766,13426.1090909091,70583.6576576577,17346.4090909091,7489.5588235294,1045.6184210526,-1028.2797427653,1124.9318181818,3030.2359550562,4804.1020408163,7229.9789473684,-429.9756944444,-167.4464285714,888.8128161889,-143.8057553957,-284.5089820359,877.5622775801,20616.7244094488,27160.6341463415,5404.1785714286,2582.6,2504.2153846154,2767.3428571429,1044.8378378378,467.72,302.7142857143,18150.5196850394,22168.3157894737,22862.6857142857,3710.4202898551,383.3881578947,3683.7244897959,761.848,9985.1957104558,948.8925619835,1223.8926174497,810.3714285714,1984.0714285714,20665.0290697674,27238.1276595745,12145.7431421446,1517.0777777778,3797.5652173913,3591.4835164835,429.0083892617,3728.1686746988,3331.4657534247,735.3756906077,81.7853107345,304.8844765343,1352.027027027,2881.982300885,1006.8888888889,795.350877193,1664.3965517241,2970.4615384615,5000.1860465116,8576.8333333333,12044.5625,12107.2857142857,11621.0416666667,11440.3571428571,11194.0625,12431.880952381,14891.775862069,8711.4852941177,4189.6666666667,1668.0833333333,977.3488372093,-366.4716157205,-402.1353383459,142.0378787879,-369.1118421053,223,1646.0731707317,799.76
14,1x3dpf,390.7142857143,49.5185185185,1390.186440678,161.5,-710.8974358974,-796.5555555556,-1264.5714285714,5106.1360544218,-397.9814814815,117538.774798928,100967.038461538,124140.485436893,148100.404761905,27219.4242424242,15527.3260869565,12958.5591397849,16161.0517241379,22736.54,24429.0701754386,37468.7285714286,21640.1951219512,17882.7142857143,18457.9120879121,19402.2619047619,20288.3461538462,19832.6296296296,21841.4166666667,18347.4583333333,12836.4285714286,9275.4042553192,9542.5897435897,13434.75,14762.8260869565,18483.6060606061,18620.5581395349,19598.1237113402,317047.170542636,212477.936170213,181288.9,180389.625,194702.54,187945.255319149,113845.092592593,75986.9024390244,60522.3214285714,59717.8875,22508.602739726,14943.5666666667,10518.2,8899.2333333333,12830,3735.75,6936.8461538462,8593.2564102564,9681.6451612903,11530.3448275862,15021.6578947368,14712.9230769231,15326.6567164179,14042.7532467532,11156.6470588235,13715.9032258065,15154.5454545455,19938.4693877551,81001.5384615385,495.53125,-7.3571428571,465.7142857143,394.2272727273,1907.6,2841.8,2525.5641025641,3588.0571428571,2514.3571428571,701.5384615385,1154.8909090909,277.6153846154,4108.1851851852,1428.2357723577,7718.3741496599,6542.9117647059,8004.3859649123,7380.8939393939,4970.6885245902,4531.0833333333,2506,6015.1666666667,-743.7990196078,2793.7948717949,8212.2941176471,4801.4,446.5263157895,229.8076923077,1519.35,1496.2424242424,995.4,2683.8902439024,16848.1304347826,6250.5294117647,5009.65,6177.78125,8996.625,9815.4166666667,14413.4583333333,9864.4285714286,9253.2307692308,6454.1276595745,14506.7454545455,46125.3333333333,10581.5227272727,5534.181372549,2246.2302631579,943.6398713826,2118.2386363636,5912.2471910112,8293.8163265306,10595.6368421053,149.0208333333,367.1107142857,3430.8566610455,797.2661870504,277.9520958084,1238.2099644128,13277.6771653543,15091.487804878,1305.3928571429,924.52,2551.4769230769,2740.9428571429,847.2432432432,876.92,1306.1190476191,11896.0551181102,13370.5,12817.6857142857,2731.2608695652,483.7335526316,2358.8775510204,404,6257.1957104558,1053.5096418733,2088.244966443,1965.4714285714,3319.6428571429,14360.9593023256,14907.3404255319,6622.1172069825,262.3222222222,2695.6739130435,2632.5494505495,998.3825503356,2973.7228915663,2209.6438356164,540.7237569061,282.1638418079,969.238267148,2812.8918918919,2596.4336283186,1111.4666666667,1342.7719298246,2678.8793103448,4320.7820512821,5957.3720930233,9866.6428571429,13524.125,13710.7142857143,13732.2083333333,14142.1428571429,14762.625,17693.2380952381,19888.5,9472.8970588235,3660.5454545455,1098.7708333333,353.5581395349,-123.8253275109,-35.6240601504,301.7045454545,51.5394736842,877.57,1572.8780487805,-56.36
15,1x3dpf,-567.4285714286,452.4814814815,2749.8474576271,270,264.3076923077,781.2222222222,699,6807.3673469388,2334.537037037,172156.975871314,139573.230769231,161540.368932039,213738.30952381,34559.0151515152,21715.5217391304,19046.752688172,23235.775862069,31210.64,35108.201754386,50290.6,31260.9756097561,28078,28613.1648351648,29331.8333333333,29442.6346153846,29698.037037037,31491.9583333333,27467.0416666667,20954.2678571429,17041.4680851064,17405.1538461538,22537.1029411765,25722.7391304348,30432.3636363636,31532.0697674419,34422.4329896907,494682.042635659,316241.14893617,276742.6,274428.0625,287946.54,275381.574468085,167851,112118.87804878,88841.0178571429,82097.2125,33520.7397260274,22551.4666666667,16849.2,18512.3333333333,22738.8095238095,13805.1666666667,18439,18700.2820512821,21170.7741935484,25000.1034482759,32255.1578947368,33209.2307692308,35855.4179104478,38083.1428571429,39325.9411764706,44347.4838709677,50248.1818181818,62973.6530612245,96980.9743589744,-242.53125,-526.3214285714,-503.0357142857,-192.0454545455,543.12,2080.6,2165.358974359,3199.3714285714,990.4285714286,1243.0769230769,1075.8909090909,-344.7692307692,3607.4814814815,1757.5040650407,8736.9353741497,4647.6176470588,6753.9298245614,7429.0303030303,5830.0327868853,5897.1666666667,3718.1176470588,7209.5789473684,-200.6029411765,3242.7948717949,9200.4411764706,5263.32,1212,828.5,1494.25,1824.303030303,1396.225,4109.9146341463,19305.8695652174,7036.1764705882,7434.9,6758.46875,11795.75,12176.25,18279.125,12258.9642857143,11134.1538461538,7508,24206.9090909091,75400.6126126126,14431.3181818182,2138.612745098,1285.4407894737,94.1286173633,1813.0568181818,6143.606741573,8360.0204081633,11101.1842105263,-275.6701388889,23.1,4584.2411467116,299.2014388489,199.6526946108,1354.0604982206,22175.0551181102,25997.756097561,1280.6071428571,1128.62,4123.8153846154,3831.1714285714,1386.7027027027,1156.28,1230.5476190476,18927,22146.9736842105,20640.9428571429,2248.4927536232,1787.2861842105,5200.9693877551,1055.392,10382.163538874,1903.1377410468,3140.5033557047,3168.2142857143,4593.0357142857,22318.25,24472.5957446808,11179.8029925187,908.8111111111,3574.25,3853.6153846154,1783.1493288591,4443.6987951807,3789.301369863,964.861878453,666.3672316384,1666.1046931408,3587.4864864865,3613.6902654867,1422.9111111111,2103.9824561404,3429.8448275862,5495.4230769231,8136.9767441861,12833.4285714286,16416.96875,15530.5,16584.2916666667,16003.5714285714,17185,21369.4523809524,23466.0344827586,10816.8970588235,4385.6060606061,1591.8125,740.8372093023,205.8820960699,434.5413533835,864.9621212121,447.7631578947,1200.11,2335.6585365854,-174.52
16,2x3dpf,1468.4761904762,1359.1851851852,1955.186440678,1298.0454545455,82.1025641026,-496.1666666667,-840.1428571429,8236.5306122449,-278.6574074074,142299.63538874,117776,154318.145631068,200836.603174603,40495.5833333333,23157.4347826087,19169.4193548387,22828.3965517241,31580.36,33316.298245614,51555.1571428571,28756.1219512195,24363.0714285714,24175.5824175824,25039.0714285714,25642.0576923077,25562.2962962963,28079.2638888889,24112,16891.3035714286,11923.6595744681,12285.5128205128,17025.5588235294,18564.6956521739,22703.0909090909,22137.976744186,22343.5360824742,422521.341085271,298414.319148936,257225.15,258093.1875,273642.04,266833.021276596,168495.62962963,115034.073170732,91570,81427.9375,36482.4109589041,26565.4666666667,18706.7375,11968.6666666667,14321.7619047619,6595.7083333333,9858.4615384615,11325.1282051282,10739.5161290323,13973.275862069,17684.2368421053,16904.8461538462,18947.4925373134,16154.6233766234,12427.2352941176,12654.1612903226,14919.1818181818,19284.6530612245,37369.6538461538,10227.40625,9170.5357142857,10537.8214285714,10167.3636363636,11960.32,12855.28,13197.6923076923,15170.2857142857,12153.1071428571,11216.0769230769,10498.5272727273,8321.4615384616,12836.8518518519,8166.2764227642,15230.7448979592,9634.0588235294,12475.649122807,13372.8181818182,11652.7049180328,10829.1875,8372.862745098,13097.7368421053,2899.25,6482.4358974359,11384.6764705882,9022.36,2451.8947368421,2665.5,1993.7,3611.2878787879,2804.3375,4368.9024390244,23581.9130434783,11426.5882352941,8929,8872.875,14682.9583333333,15027.0555555556,22979.5416666667,14715.9285714286,13473.9230769231,7908.2340425532,21720.6545454545,66610.990990991,16416.4715909091,2498.0147058824,1426.4407894737,-675.884244373,1259.1079545455,6980.6516853933,10647.2040816327,14839.9,-40.0451388889,-139.7,4541.389544688,299.5179856115,-454.6766467066,966.2526690391,18571.2440944882,23289.8292682927,359.5357142857,259.74,2230.5076923077,2438.5428571429,866.7027027027,228.72,-20.7380952381,15812.2047244094,19115.8421052632,18642.8285714286,1649.5,1060.1480263158,3349.2448979592,-407.152,7985.5737265416,637.826446281,1996.2147651007,944.2571428571,2628.6785714286,19844.1104651163,22478.2978723404,9290.9152119701,-4.3888888889,3258.3043478261,3396.032967033,762.894295302,2674.2048192771,2667.4794520548,-141.7348066298,-478.1694915254,494.7689530686,2312.5945945946,2815.2123893805,89.5111111111,633.9122807018,2404.2931034483,4619.3717948718,7189.6046511628,12790.8333333333,18709.59375,17366.5,19058.0833333333,19243,19571.84375,25014.9285714286,29258.1379310345,14029.0735294118,6165.4545454546,1280.6458333333,304.4418604651,-522.7860262009,-603.5263157895,203.0757575758,-388.7171052632,344.79,1506.6097560976,306.08
17,2x3dpf,-70.8095238095,392.7777777778,1108.4237288136,-119.4545454545,-191.5384615385,-416.25,90.3142857143,12950.5714285714,994.1388888889,164318.061662198,145542.423076923,187007.611650485,209865.126984127,43768.8106060606,23760.4565217391,19384.8709677419,28514.9310344828,42606.56,40606.8070175439,63027.5571428571,34253.9512195122,28738.8571428571,29806.4615384615,31550.8571428571,33252.5,32935.5925925926,37326.2916666667,31972.8194444444,23040.375,18617.2553191489,19521.7179487179,25661.8823529412,27467.652173913,32097.9090909091,31562.5813953488,33388.6288659794,413448.864341085,311316.978723404,275645,266479.8125,290101.48,274170.914893617,167512.018518519,115590.463414634,98108.2142857143,93384.1375,43137.6849315068,31754.8,26210.7375,20446.0666666667,26079.8571428571,18505.7083333333,19459.8974358974,23255.5384615385,24534.064516129,29580.4827586207,37081,37163.0769230769,41027.7014925373,41400.2207792208,38798.2941176471,41530.1612903226,43600.7727272727,52663.7755102041,94072.717948718,6676.25,6874.7142857143,7654.3214285714,7973.8181818182,9619.76,11802.08,11746,15134.4857142857,10942.7857142857,8854.9230769231,9033.8363636364,6061.7692307692,8625.962962963,7263.512195122,18426.6904761905,9749.7058823529,13974.3859649123,16023.7121212121,14087.5737704918,13919.7291666667,10087.4705882353,11689.3421052632,2844.5,6085.3846153846,11582.0882352941,8394.4,2934.5789473684,3685.1923076923,4113.4,5725.4393939394,4850.625,8334.2804878049,29259.1739130435,20585.1176470588,14493.2,15704.53125,25067.9166666667,22738.8611111111,38992.3333333333,23977,22956.4615384615,13081.5319148936,21484.8363636364,53704.7207207207,17246.0965909091,1962.3970588235,1107.7697368421,719.0321543408,4280.2159090909,13049.4606741573,18669.6326530612,24462.1473684211,-66.7604166667,309.0214285714,9781.2529510961,1493.964028777,384.1497005988,2250.5978647687,13875.9921259843,16006.0243902439,185.5714285714,852.94,2495.8153846154,3577.4285714286,640.3243243243,1087.04,1060.7142857143,12127.811023622,13481.2105263158,13310.4857142857,1825.7246376812,1523.9506578947,4360.4081632653,876.872,6804.9195710456,3422.7878787879,2857.4530201342,3422.5428571429,6156.9285714286,19517.2209302326,16647.4468085106,7250.5561097257,728.2777777778,6415.4347826087,5433.3186813187,2955.7214765101,3457.4698795181,4035.8767123288,425.7348066298,382,2682.1444043321,4289.972972973,4674.814159292,1601.6444444444,2334.0701754386,5400.6034482759,9251.3846153846,13814.2790697674,22222.9047619048,31097.25,28140.7142857143,31034.4583333333,30419.5,32316.34375,41236.380952381,47029.8275862069,21655.0588235294,8444.2121212121,2164.7916666667,-85.2325581395,-353.5152838428,-435.8496240602,140.0378787879,-269.5789473684,92.13,1407.0975609756,-158.4
18,2x3dpf,-383.7142857143,-284.8518518519,746.5423728814,-265.0454545455,-15.2051282051,107.1111111111,-524.2857142857,12254.8775510204,1252.462962963,148675.699731903,125668.153846154,174901.097087379,207084.952380952,39762.7954545455,21166.0652173913,17766,26016,39282.68,36966.4035087719,58624.3857142857,30005.0487804878,25675.8571428571,26648.0659340659,27872.0714285714,29961.1346153846,30256.1481481481,33914.6805555556,29592.5972222222,21604.7321428571,17393.8510638298,18123.1794871795,24304.4411764706,25779.652173913,30839.7878787879,30093.5348837209,30944.1443298969,439123.170542636,317369.29787234,278013.25,267144.375,287778.02,282364.531914894,170894.018518519,115485.195121951,98252.375,90494.6,40050.1232876712,28926.5333333333,21366.525,20728,24878.6666666667,15880.6666666667,20569.8974358974,24114.5897435897,25676.6451612903,30924.1034482759,37723.6842105263,39040.8461538462,44140.3731343284,49786.2597402597,52080.2941176471,59136.7419354839,68237.8181818182,82882.306122449,126048.217948718,4989.8125,4774.8214285714,5408.5,6064.2727272727,7600.24,9586.28,9392.8717948718,12327.1428571429,9020.7857142857,7105.4615384615,7032.1454545455,4265.5,6793.8518518519,7039.7967479675,17292.0102040816,9386.2352941177,13955,15586.6212121212,13476.5081967213,12806.25,8662.0980392157,11512.9298245614,1727.4607843137,5113.2051282051,10241.8529411765,6821.44,1675.7368421053,2522.2307692308,3019.85,4339.9242424242,3497.2125,6116.0243902439,23391.3913043478,16982.5294117647,14244.2,13285.59375,23771.5,21804.8888888889,35246.875,22906.25,21150.5384615385,11601.7659574468,25357.6363636364,60871.8198198198,15465.5738636364,2288.7450980392,1113,-329.4726688103,3545.6477272727,11862.6348314607,16304.8775510204,22028.9947368421,-30.9270833333,294.675,7371.2782462057,2587.5251798561,390.4491017964,2232.7722419929,16926.8346456693,19263.3414634146,474.6428571429,255.1,2557.1692307692,2590.4,957.2972972973,570.24,886.8333333333,14155.157480315,16393.1052631579,15609.3428571429,1714.8695652174,1613.5394736842,4050.2857142857,629.232,7803.0107238606,1979.9449035813,3093.4932885906,3005.3428571429,5053.1785714286,21465.2848837209,18622.4468085106,8169.3715710723,312.9111111111,6106.1304347826,5260.1428571429,1648.7718120805,2670.6506024096,3142.7808219178,612.5082872928,358.5593220339,1712.7075812274,4798.972972973,5646.7699115044,2065.1111111111,2702.7543859649,5248.4482758621,9369.6025641026,13604.0930232558,21507.6904761905,29206.4375,26456,28684,29534.7857142857,30453.59375,38806.7857142857,44420.1724137931,19866.3529411765,7353.8939393939,1543.75,-126.6046511628,-459.5152838428,-223.0751879699,69.6439393939,-370.9934210526,304.6,1482.2682926829,-417.88
19,5x3dpf,290.3333333333,424.1111111111,1410.6610169492,205.6363636364,192.4102564103,802.8611111111,1073.2285714286,30946.6394557823,1753.0925925926,104884.080428954,105049.538461538,226796.145631068,214246.222222222,55679.9772727273,20701.0434782609,16609.0215053763,36512.8448275862,63748.3,45581.4736842105,86473.4285714286,31875.3170731707,21944.619047619,24245.8681318681,30111.0238095238,34738.1538461538,34577,45975.9027777778,39479.875,28162.7321428571,23323.085106383,25912.358974359,35483.75,33659.1739130435,39924.5454545455,36673.023255814,31836.8453608247,441846.112403101,390128.446808511,341171.65,322287.6875,340806.24,338201.957446809,199530.407407407,138647.414634146,127858.589285714,115349.3625,55638.9589041096,42643.9666666667,31264.85,24889.0666666667,32061.9047619048,24498.875,31738.4102564103,35748.1794871795,35595.7096774194,44051.3965517241,49240.6315789474,51343.1153846154,62870.4179104478,71094.6493506494,69698.4705882353,72278.1612903226,75408.4090909091,85409.2448979592,123476.423076923,8594.46875,8471.3571428571,11348.3214285714,11471.7272727273,16360.56,20787.28,21226.6666666667,27766.3714285714,20939.0714285714,15046.5384615385,14764.7454545455,8460.2307692308,6388.8518518519,10216.3983739837,35364.8673469388,15502.2058823529,24872,29920.3181818182,25555.1639344262,25573.5625,16936.137254902,13389.1929824561,2168.568627451,4657.717948718,9447.0588235294,7138.56,3824,5272.6153846154,5328.85,9858.803030303,8490.475,18566.4268292683,53307.9565217391,44296.2352941177,32593.3,34430.6875,48909.625,47251.2222222222,79361.3333333333,49742.4642857143,46923.1153846154,23359.7872340426,19997.2909090909,35434.6846846847,24289.3238636364,718.0147058824,-5.4342105263,-17.3729903537,9003.6079545455,28900.3539325843,42904.0204081633,54184.5315789474,23.0138888889,1136.65,25643.3760539629,2554.4028776978,193.9880239521,4764.7046263345,5536.3937007874,6535.8780487805,-149.2857142857,755.08,2557.1538461539,2894.2857142857,1001.4324324324,310.04,378.0714285714,5196.1811023622,5523.2105263158,6731.2285714286,2255.115942029,1050.5921052632,13368.2142857143,2788.024,3941.0616621984,10136.7878787879,2257.3791946309,7202.0428571429,12565.0535714286,22112.3197674419,9608.2127659575,3612.9027431421,1044.8777777778,12619.9130434783,10742.3956043956,8609.1879194631,1415.0602409639,1463.1232876712,616.591160221,368.7966101695,6901.6281588448,4688.7567567568,8739.3805309735,2909.1333333333,4245.5438596491,10216.1206896552,19496.2692307692,30330.511627907,50372.9047619048,66108.15625,66827.5714285714,69318.1666666667,67918.2857142857,73381.28125,90523.5,104631.034482759,50463.4117647059,19911.0757575758,6228.4583333333,2121.1395348837,-2.711790393,-189.3834586466,317.946969697,196.3157894737,596.09,1756.9024390244,-353.92
20,5x3dpf,-50.2380952381,316.037037037,1015.6271186441,154.7727272727,52.8461538462,607.9166666667,826.8,28717.6326530612,1132.9166666667,104243.222520107,104786.307692308,206839.533980583,199719.142857143,51915.5984848485,21687.3260869565,18402.8494623656,36749.6034482759,62072.48,44368.5087719298,84340.8428571429,29237.4634146341,19754.5,22669.5714285714,29004.1666666667,32474.5,33353.2592592593,42215.0277777778,36571.8472222222,25663.5892857143,22117.6595744681,24689.2307692308,33516.9705882353,31475.8695652174,38038.1515151515,32953.6744186046,28956.2989690722,459775.290697674,371086.212765957,317772.45,303396.40625,325029.5,312171.404255319,186260.981481481,132444.87804878,120841.642857143,101109.05,50888.1369863014,41096.5,29188.1,26168.9666666667,27418.5714285714,21230.0833333333,29500.7948717949,31607.4615384615,33448.6129032258,39211.4827586207,42692.5,44910.5769230769,55767.1791044776,60562.1298701299,53588.7058823529,56955.7741935484,57256.6363636364,61776.8367346939,85351.7051282051,13957.9375,14046,14880.5,15361,19372.08,22966.36,22466.2307692308,29254.4285714286,19896.2857142857,14371.4615384615,15202.1454545455,7923.6153846154,6560.9259259259,11218.7642276423,34022.1258503401,14644.3235294118,25985.5789473684,29282.3333333333,24683.5409836066,24902.875,17693.1960784314,14308.9122807018,2569.3137254902,4645.1282051282,9083.8235294118,6546.96,3905.4736842105,5153.5769230769,4656.525,9755.4242424242,8886.025,22706.6463414634,45940.2608695652,28236.2941176471,33029.95,23275.5625,48701.9583333333,45300.6666666667,73786.4166666667,44804.9642857143,42200.8461538462,19861.7234042553,30242.8727272727,43783.2612612613,20202.0170454545,1031.3970588235,1116.5197368421,-56.3440514469,8697.3409090909,29176.2752808989,39733.387755102,48624.1473684211,989.3333333333,2647.8,22716.2967959528,1263.5035971223,653.502994012,4952.8007117438,9531.3464566929,10567.9756097561,1236.1428571429,977.94,3103.5538461539,3354.5142857143,987.3783783784,1442.84,1480.8571428571,8908.2362204724,10769.3947368421,10087.7142857143,3936.8985507246,8196.6348684211,2841.3673469388,880.232,6846.1983914209,8424.9696969697,2865.0167785235,7968.9714285714,11737.2321428571,23381.0058139535,11960.1063829787,5198.9127182045,1636.5777777778,13179.6630434783,11077.0549450549,7847.1996644295,2063.3373493976,2306.6301369863,1315.3756906077,1134.5197740113,7481.6714801444,5398.027027027,9152.7522123894,3346.1777777778,5631.5087719298,13433.2068965517,22178.3461538462,34872.976744186,52466.9761904762,62939.0625,64227.9285714286,66858.2916666667,73216.4285714286,69708.71875,92378.6428571429,89135.7931034483,36545.1029411765,13665.8787878788,3472.0208333333,317.8139534884,-201.4410480349,-218.0827067669,209.5606060606,-93.7894736842,413.16,1348.8536585366,-615.08
